y,x,z
49.68829,-93.68938,-8.71
49.68834,-93.68938,-8.25
49.68838,-93.68938,-7.82
49.68842,-93.68937,-7.55
49.68847,-93.68936,-7.08
49.68852,-93.68936,-6.5
49.68857,-93.68939,-5.88
49.68859,-93.68947,-4.98
49.68856,-93.68953,-4.55
49.68852,-93.68956,-4.79
49.68847,-93.68956,-5.69
49.68843,-93.68955,-6.35
49.68839,-93.68953,-6.77
49.68834,-93.68953,-7.32
49.68829,-93.68953,-7.51
49.68824,-93.68953,-8.01
49.68819,-93.68953,-8.25
49.68814,-93.68954,-8.48
49.6881,-93.68955,-8.81
49.68805,-93.68955,-9.19
49.68799,-93.68955,-9.62
49.68795,-93.68954,-9.74
49.6879,-93.68954,-9.91
49.68785,-93.68954,-9.74
49.68781,-93.68955,-9.55
49.68776,-93.68955,-9.28
49.68771,-93.68955,-8.98
49.68765,-93.68955,-8.58
49.68761,-93.68955,-8.08
49.68756,-93.68955,-7.65
49.68751,-93.68956,-7.19
49.68746,-93.68956,-6.58
49.68741,-93.68956,-6.03
49.68737,-93.68958,-5.19
49.68732,-93.68959,-4.24
49.68727,-93.68959,-3.48
49.68722,-93.68959,-4.83
49.68718,-93.6896,-2.72
49.68712,-93.6896,-2.83
49.68707,-93.6896,-2.47
49.68702,-93.6896,-3.14
49.68697,-93.68958,-2.42
49.68693,-93.68959,-1.77
49.6869,-93.68963,-1.37
49.68689,-93.6897,-1.31
49.68688,-93.68976,-1.31
49.68687,-93.68983,-1.31
49.6869,-93.68989,-1.31
49.68694,-93.68991,-1.39
49.68699,-93.68991,-1.69
49.68704,-93.68992,-2.05
49.68708,-93.68993,-2.21
49.68713,-93.68993,-2.36
49.68718,-93.68994,-2.09
49.68723,-93.68994,-2.53
49.68729,-93.68995,-2.62
49.68734,-93.68995,-2.87
49.68739,-93.68995,-3.52
49.68745,-93.68995,-4.41
49.6875,-93.68995,-5.29
49.68755,-93.68995,-5.76
49.6876,-93.68995,-6.11
49.68765,-93.68995,-6.3
49.68771,-93.68995,-6.5
49.68776,-93.68995,-6.68
49.6878,-93.68994,-6.71
49.68785,-93.68994,-6.81
49.6879,-93.68993,-6.81
49.68794,-93.68992,-6.77
49.68798,-93.68991,-6.66
49.68803,-93.68991,-6.52
49.68807,-93.68989,-6.41
49.68811,-93.68987,-6.28
49.68816,-93.68986,-5.97
49.68821,-93.68985,-5.52
49.68826,-93.68984,-4.79
49.68831,-93.68983,-4.17
49.68836,-93.68983,-3.65
49.68841,-93.68983,-3.18
49.68845,-93.68984,-4.24
49.68849,-93.68986,-2.72
49.68852,-93.68991,-1.16
49.68848,-93.68995,-1.56
49.68844,-93.68997,-2.34
49.68839,-93.68997,-2.51
49.68834,-93.68998,-2.55
49.6883,-93.69,-2.93
49.68825,-93.69001,-2.99
49.6882,-93.69003,-3.48
49.68816,-93.69005,-3.71
49.68812,-93.69007,-3.94
49.68807,-93.69009,-4.18
49.68803,-93.6901,-4.41
49.68799,-93.69012,-4.56
49.68794,-93.69013,-4.68
49.6879,-93.69014,-4.98
49.68785,-93.69015,-4.87
49.68779,-93.69017,-5.02
49.68774,-93.69019,-4.91
49.6877,-93.6902,-4.64
49.68765,-93.69022,-4.07
49.68761,-93.69023,-3.75
49.68757,-93.69024,-3.42
49.68752,-93.69025,-5.36
49.68747,-93.69026,-4.77
49.68743,-93.69025,-2.87
49.68738,-93.69024,-2.53
49.68734,-93.69023,-2.36
49.6873,-93.69022,-2.4
49.68725,-93.69021,-2.66
49.6872,-93.6902,-2.36
49.68715,-93.69018,-2.07
49.68711,-93.69017,-2.04
49.68707,-93.69021,-1.54
49.68706,-93.69027,-1.46
49.68707,-93.69035,-1.52
49.68708,-93.69041,-1.12
49.68712,-93.69045,-1.08
49.68716,-93.69046,-1.48
49.68721,-93.69045,-1.46
49.68725,-93.69044,-1.81
49.68729,-93.69044,-1.75
49.68733,-93.69042,-1.81
49.68739,-93.69041,-2.02
49.68744,-93.6904,-2.7
49.68749,-93.6904,-2.76
49.68753,-93.69039,-3.02
49.68758,-93.69039,-2.93
49.68764,-93.69038,-2.62
49.6877,-93.69038,-3.02
49.68774,-93.69037,-3.12
49.68779,-93.69037,-2.61
49.68784,-93.69035,-2.62
49.68788,-93.69034,-2.78
49.68792,-93.69029,-2.66
49.68796,-93.69026,-3.04
49.688,-93.69021,-2.95
49.68804,-93.69017,-3.46
49.68808,-93.69013,-3.2
49.68812,-93.69009,-3.52
49.68817,-93.69009,-3.18
49.68816,-93.69016,-2.81
49.68811,-93.69018,-2.87
49.68806,-93.69019,-2.99
49.68802,-93.69022,-3.08
49.68798,-93.69026,-3.12
49.68794,-93.69029,-2.93
49.6879,-93.69034,-2.76
49.68787,-93.69038,-2.53
49.68783,-93.69044,-2.42
49.68779,-93.69048,-2.28
49.68776,-93.69053,-2.07
49.68771,-93.69057,-1.94
49.68767,-93.6906,-1.83
49.68763,-93.69061,-1.81
49.68757,-93.69062,-2.04
49.68753,-93.69061,-1.96
49.68747,-93.69059,-1.9
49.68743,-93.69058,-1.84
49.68739,-93.69056,-1.88
49.68734,-93.69057,-1.67
49.6873,-93.69059,-1.33
49.68726,-93.6906,-1.26
49.68722,-93.69061,-1.1
